7zip 26.00-1
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-all-the-icons 5.0.0-1
ttf-cascadia-code-nerd 3.4.0-2
ttf-material-symbols-variable 2.874-1
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-rubik-vf 2.3.0-3
twolame 0.4.0-4
tzdata 2026a-1
uchardet 0.0.8-4
udisks2 2.11.1-2
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.2-1
usbredir 0.15.0-1
usbutils 019-1
uthash 2.3.0-3
util-linux 2.42-1
util-linux-libs 2.42-1
uv 0.11.7-1
v4l-utils 1.32.0-2
vamp-plugin-sdk 1:2.10-1
vapoursynth 73-2
vid.stab 1.1.1-2
virt-install 5.1.0-3
virt-manager 5.1.0-3
visual-studio-code-bin 1.113.0-1
vivaldi 7.9.3970.55-1
vmaf 3.1.0-1
volume_key 0.3.12-12
vte-common 0.84.0-1
vte3 0.84.0-1
vulkan-headers 1:1.4.341.0-1
vulkan-icd-loader 1.4.341.0-1
wavpack 5.9.0-1
waybar 0.15.0-2
wayland 1.24.0-1
wayland-protocols 1.48-1
webkitgtk-6.0 2.52.3-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-3
which 2.23-1
wireplumber 0.5.14-1
wl-clipboard 1:2.3.0-1
wlr-randr 0.5.0-1
woff2 1.0.2-6
woff2-font-awesome 7.2.0-1
wpa_supplicant 2:2.11-5
wxwidgets-common 3.2.10-1
wxwidgets-gtk3 3.2.10-1
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xclip 0.13-6
xcur2png 0.7.1-9
xdg-dbus-proxy 0.1.7-1
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-hyprland 1.3.11-4
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xfconf 4.20.0-2
xkeyboard-config 2.47-1
xorg-fonts-encodings 1.1.0-2
xorg-server-common 21.1.22-1
xorg-setxkbmap 1.3.5-1
xorg-xev 1.2.6-2
xorg-xeyes 1.3.1-1
xorg-xhost 1.0.10-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland 24.1.10-1
xorgproto 2025.1-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.3-1
yay 12.5.7-1
yyjson 0.12.0-1
zeromq 4.3.5-3
zimg 3.0.6-1
zip 3.0-13
zix 0.8.0-1
